Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tyrese Martin,25,BKN,SG,38,6,20.7,2.8,7,0.397,1.5,4.3,0.339,1.3,2.7,0.49,0.502,0.6,0.9,0.697,0.9,2.8,3.7,1.7,0.5,0.1,1.2,1.1,7.7
Quinten Post,24,GSW,PF,19,7,14.2,2.8,5.9,0.473,1.6,3.8,0.417,1.2,2.1,0.575,0.607,0.6,0.6,1,1,2.5,3.5,1.6,0.2,0.2,0.6,1.6,7.7
Bruce Brown,28,NOP,PG,22,0,19.7,2.9,7,0.406,0.5,1.9,0.262,2.4,5.1,0.46,0.442,1.4,1.6,0.886,0.9,2.7,3.6,1.4,0.8,0.1,0.9,1.7,7.6
Sam Hauser,27,BOS,PF,48,9,19.9,2.7,6.1,0.44,2.1,5.3,0.401,0.6,0.9,0.683,0.613,0.1,0.1,1,0.6,2.4,3,1,0.6,0.2,0.3,1.1,7.6
Ja'Kobe Walter,20,TOR,SG,38,9,19.5,2.8,6.9,0.408,1,3.3,0.312,1.8,3.6,0.496,0.483,1,1.4,0.712,0.8,1.8,2.6,1.3,0.7,0.2,0.8,1.8,7.6
Trayce Jackson-Davis,24,GSW,C,50,37,18.2,3.2,5.6,0.573,0,0,0,3.2,5.6,0.575,0.573,1,1.7,0.605,2.2,3.6,5.8,1.9,0.4,0.7,0.8,1.3,7.5
Johnny Juzang,23,UTA,SG,39,5,17.5,2.6,6.1,0.424,1.7,4.3,0.391,0.9,1.8,0.507,0.563,0.7,0.8,0.839,0.6,2,2.6,1,0.5,0.1,0.5,2,7.5
Garrison Mathews,28,ATL,SG,43,2,17.7,2.1,5.5,0.39,1.8,4.7,0.385,0.3,0.8,0.417,0.553,1.5,1.8,0.829,0.3,1.5,1.8,1.3,0.6,0.3,0.7,1.7,7.5
Vasilije Micić,31,CHA,PG,36,16,21.2,2.6,7.6,0.348,1.3,3.5,0.36,1.4,4.1,0.338,0.43,0.9,1.1,0.829,0.6,1.9,2.4,3.5,0.4,0,2.1,1.2,7.5
Kelly Olynyk,33,NOP,C,26,4,16.6,2.5,5,0.496,0.8,1.8,0.426,1.7,3.2,0.536,0.573,1.5,1.9,0.796,1.2,3,4.1,2.3,0.6,0.3,1.6,2.5,7.3
Lonzo Ball,27,CHI,PG,32,11,22.1,2.4,6.8,0.349,1.8,5.6,0.331,0.5,1.3,0.425,0.484,0.7,0.8,0.808,0.7,2.8,3.4,3.4,1.4,0.5,1.2,1.6,7.3
Jay Huff,26,MEM,C,47,1,12.2,2.6,4.9,0.522,1.4,3.3,0.418,1.2,1.6,0.727,0.661,0.8,1,0.771,0.5,1.6,2.1,0.6,0.2,0.9,0.6,1.3,7.3
Cameron Payne,30,NYK,PG,51,1,14.6,2.5,6.1,0.419,1.4,3.6,0.373,1.2,2.5,0.488,0.531,0.8,0.9,0.891,0.2,1.2,1.4,2.7,0.5,0.2,0.6,1.6,7.3
Cason Wallace,21,OKC,SG,48,32,27.1,3,6.7,0.446,1,3,0.336,2,3.8,0.533,0.52,0.3,0.4,0.789,1.1,2.3,3.4,2.4,1.7,0.5,0.7,2.2,7.3
Bones Hyland,24,LAC,PG,20,0,11.1,2.3,5.8,0.391,1.6,4,0.388,0.7,1.8,0.4,0.526,1.2,1.3,0.885,0.3,1,1.2,1.4,0.9,0.2,1.2,1.3,7.2
Sam Merrill,28,CLE,SG,48,2,19.3,2.4,6.1,0.39,1.9,5.3,0.352,0.5,0.8,0.641,0.543,0.5,0.5,0.962,0.5,1.5,2,1.5,0.7,0.2,0.5,1.9,7.1
Precious Achiuwa,25,NYK,C,36,8,22.5,3,5.6,0.527,0.3,0.8,0.321,2.7,4.9,0.56,0.549,0.8,1.3,0.617,2.1,3.9,6.1,1.1,1,0.7,0.8,1.6,7
Isaiah Collier,20,UTA,PG,48,23,24,2.8,6.9,0.408,0.5,2.3,0.236,2.3,4.6,0.493,0.447,0.8,1.3,0.633,0.4,2.7,3.1,6,0.8,0.2,2.9,2.2,7
Jordan Goodwin,26,LAL,PG,5,0,19,3,5.2,0.577,0.8,2,0.4,2.2,3.2,0.688,0.654,0.2,0.2,1,1.6,2.8,4.4,1,1,0.2,0.6,1.8,7
Isaiah Jackson,23,IND,C,5,1,16.8,2.8,4.6,0.609,0,0,,2.8,4.6,0.609,0.609,1.4,2.8,0.5,2.2,3.4,5.6,1,0.6,1.6,1,2.8,7
Josh Okogie,26,CHA,SG,32,2,15.6,2.5,5.2,0.473,0.8,2,0.385,1.7,3.2,0.529,0.548,1.2,1.6,0.725,1.3,1.7,3,0.8,1.3,0.5,0.8,1.2,6.9
Jared Butler,24,PHI,SG,36,1,11.6,2.7,5.7,0.466,0.5,1.5,0.321,2.2,4.3,0.516,0.507,1.1,1.4,0.788,0.4,0.9,1.4,2.7,0.4,0.2,0.9,1.2,6.9
Vit Krejci,24,ATL,PG,39,15,20.8,2.5,5.5,0.447,1.4,3.7,0.384,1,1.8,0.58,0.577,0.5,0.8,0.667,0.4,2.4,2.7,2.7,0.7,0.5,0.9,1.9,6.9
Thomas Bryant,27,IND,C,39,5,15.1,2.6,4.9,0.536,0.8,2.1,0.366,1.9,2.8,0.664,0.615,0.8,0.9,0.861,1.5,2.7,4.2,1.2,0.4,0.6,0.4,1.1,6.8
Jake LaRavia,23,SAC,PF,52,0,20.1,2.4,4.9,0.479,0.8,1.9,0.424,1.6,3,0.513,0.56,1.3,1.9,0.67,1.4,2.7,4.2,2.6,0.9,0.4,1.4,1.8,6.8
Andre Drummond,31,PHI,C,32,16,18.1,2.8,5.4,0.517,0,0.4,0.083,2.8,5.1,0.549,0.52,1.2,2.1,0.561,2.5,4.9,7.4,0.6,1,0.4,1.5,2.3,6.8
Eric Gordon,36,PHI,SG,39,13,19.7,2.2,5.2,0.426,1.4,3.5,0.409,0.8,1.7,0.463,0.564,0.9,1.2,0.75,0.2,1,1.2,1.7,0.7,0.3,0.7,0.8,6.8
Kyle Filipowski,21,UTA,C,46,10,18.2,2.5,5,0.513,0.7,2,0.337,1.9,3,0.632,0.581,1,1.5,0.62,1.2,3.6,4.8,1.8,0.5,0.1,1.1,2,6.7
Davion Mitchell,26,MIA,PG,49,27,25.4,2.5,5.7,0.441,1,2.8,0.363,1.5,2.9,0.514,0.529,0.6,0.8,0.683,0.4,1.6,1.9,4.5,0.7,0.2,1.7,2.6,6.6
Matas Buzelis,20,CHI,SF,55,6,15.2,2.4,5.4,0.438,0.9,2.7,0.356,1.4,2.7,0.517,0.525,0.8,1,0.804,0.6,2.3,2.9,0.6,0.3,0.9,0.7,1.5,6.5
KJ Simpson,22,CHA,PG,21,2,19.2,2.2,7,0.318,0.7,3,0.219,1.6,4,0.393,0.365,1.4,1.7,0.806,1.1,1.6,2.7,2.5,0.7,0.2,1.3,1.6,6.5
Ben Simmons,28,LAC,PG,36,24,24.9,2.9,5.1,0.557,0,0,,2.9,5.1,0.557,0.557,0.7,0.9,0.727,0.9,4.3,5.2,6.8,0.9,0.5,2.5,2.4,6.4
KJ Martin,24,UTA,PF,26,8,20.2,2.6,4.3,0.604,0.3,1.1,0.321,2.2,3.2,0.699,0.644,0.9,1.2,0.774,0.8,2.1,2.9,0.8,0.5,0.7,0.5,2.5,6.4
Ajay Mitchell,22,OKC,SG,34,1,16.5,2.5,4.9,0.506,0.6,1.5,0.431,1.8,3.4,0.539,0.572,0.8,1,0.848,0.5,1.5,2,1.7,0.7,0.1,0.8,1.7,6.4
Vince Williams Jr.,24,MEM,SG,8,0,16.3,2.3,6,0.375,0.6,2.6,0.238,1.6,3.4,0.481,0.427,1.3,1.9,0.667,1.5,2.4,3.9,2,0.6,0.3,1.4,2.3,6.4
Ryan Dunn,22,PHX,SF,51,28,18,2.5,5.8,0.438,0.9,3.1,0.306,1.6,2.7,0.586,0.519,0.2,0.5,0.478,0.9,2.3,3.2,0.8,0.4,0.5,0.4,2.2,6.3
Haywood Highsmith,28,MIA,SF,49,39,23.7,2.4,5.1,0.466,1.2,3,0.388,1.2,2.1,0.578,0.58,0.4,0.6,0.679,0.8,2.3,3.1,1.2,0.9,0.6,0.7,2,6.3
Torrey Craig,34,BOS,SF,11,1,11.9,2.2,4.3,0.511,1.5,3.4,0.459,0.6,0.9,0.7,0.691,0.3,0.4,0.75,0.8,1.6,2.5,0.6,0.2,0.5,0,1.4,6.2
Alec Burks,33,MIA,SG,30,1,17,1.9,4.5,0.425,1.4,3.2,0.433,0.5,1.2,0.405,0.582,1,1.3,0.763,0.4,2.2,2.6,1.1,0.6,0.2,0.4,0.7,6.2
Alex Caruso,30,OKC,SG,35,1,19.1,2.3,5.6,0.416,1.1,3.3,0.342,1.2,2.3,0.525,0.518,0.4,0.5,0.813,0.7,2.1,2.8,2.6,1.7,0.5,0.6,1.9,6.2
Ricky Council IV,23,PHI,SF,48,4,14.1,2.1,5.1,0.412,0.7,2.3,0.306,1.4,2.8,0.496,0.479,1.3,1.6,0.808,0.6,1.6,2.2,1.1,0.4,0.1,0.5,0.8,6.2
Richaun Holmes,31,WAS,PF,19,5,16.7,2.5,3.8,0.658,0,0.2,0,2.5,3.7,0.686,0.658,1.2,1.5,0.759,1.7,3.6,5.3,1.1,0.1,0.8,0.7,1.6,6.2
Dru Smith,27,MIA,SG,14,1,19.1,2.2,4.4,0.508,1.1,2.1,0.533,1.1,2.2,0.484,0.639,0.6,0.9,0.75,0.9,1.7,2.6,1.6,1.5,0.4,1.2,2.1,6.2
Seth Curry,34,CHA,SG,47,9,14.4,2.3,4.8,0.471,1.1,2.6,0.446,1.1,2.3,0.5,0.59,0.4,0.5,0.87,0.4,1.1,1.6,0.7,0.5,0.1,0.4,0.9,6.1
Simone Fontecchio,29,DET,SF,52,0,17.4,2,5.3,0.381,1,3.2,0.321,1,2.1,0.472,0.478,1.1,1.3,0.838,0.7,2.3,3.1,0.9,0.4,0.2,0.8,1.3,6.1
Ron Holland,19,DET,SF,57,1,15.6,2.3,5.2,0.44,0.5,2.1,0.242,1.8,3.1,0.573,0.488,1,1.2,0.803,0.5,2.2,2.7,0.8,0.6,0.1,0.9,1.8,6.1
Trey Lyles,29,SAC,PF,46,2,18.5,2.1,5.3,0.393,1.2,3.6,0.333,0.9,1.7,0.519,0.506,0.8,1,0.745,1,3.3,4.4,0.9,0.6,0.4,0.6,1.2,6.1
Bol Bol,25,PHX,PF,21,2,11.2,2.4,4.8,0.495,0.7,2.4,0.294,1.7,2.4,0.7,0.569,0.5,0.8,0.688,0.6,2.1,2.8,0.4,0.2,0.8,0.6,0.4,6
Jamal Shead,22,TOR,PG,51,1,17.3,2.3,5.5,0.428,0.8,2.3,0.361,1.5,3.1,0.478,0.505,0.5,0.7,0.743,0.2,0.9,1.2,3.5,0.5,0.1,1.5,1.9,6
James Wiseman,23,IND,C,1,0,5,2,4,0.5,0,1,0,2,3,0.667,0.5,2,2,1,0,1,1,0,0,0,0,0,6
Isaiah Wong,24,CHA,SG,20,0,13.3,2.1,5.3,0.39,0.7,1.7,0.394,1.4,3.6,0.389,0.452,1.3,1.7,0.735,0.7,0.9,1.6,1.4,0.6,0,0.9,1.1,6
Terance Mann,28,ATL,SG,42,12,19.6,2.3,5.1,0.453,0.7,1.9,0.37,1.6,3.2,0.504,0.523,0.6,0.9,0.641,0.9,1.9,2.8,1.6,0.7,0.3,0.6,1.9,5.9
Jaxson Hayes,24,LAL,C,34,13,18.2,2.4,3.5,0.697,0,0.1,0,2.4,3.4,0.709,0.697,1,1.4,0.729,1.3,2.9,4.2,1.1,0.6,0.9,0.7,2.1,5.9
Jonathan Isaac,27,ORL,PF,51,0,16.5,2.1,5.1,0.412,0.6,2.5,0.26,1.5,2.6,0.556,0.475,1,1.5,0.675,1.8,3,4.8,0.5,0.8,1.2,0.4,1.4,5.9
Marcus Sasser,24,DET,PG,43,0,13.9,2.2,4.9,0.459,0.9,2.5,0.361,1.3,2.3,0.564,0.553,0.5,0.6,0.885,0.3,0.9,1.2,2.2,0.7,0.1,0.9,1.3,5.9
Ben Sheppard,23,IND,SG,41,8,20.2,2.1,5,0.426,1.2,3.4,0.364,0.9,1.6,0.563,0.551,0.4,0.5,0.9,0.6,1.9,2.5,1.2,0.7,0.3,0.3,2.1,5.9
Isaiah Stewart,23,DET,C,52,3,20,2.4,4.4,0.541,0.2,0.7,0.289,2.2,3.7,0.591,0.565,0.8,1,0.815,2,3.7,5.7,1.7,0.3,1.3,1,2.4,5.9
Kenrich Williams,30,OKC,PF,45,1,14.4,2.3,4.6,0.5,0.9,2.4,0.396,1.4,2.3,0.608,0.601,0.4,0.4,0.889,0.9,2.3,3.2,1.1,0.6,0.1,0.5,1.5,5.9
Shake Milton,28,LAL,SG,44,1,15.4,2.1,4.5,0.455,0.7,2,0.356,1.3,2.5,0.536,0.535,0.9,1.1,0.8,0.5,1.4,1.9,2,0.4,0.1,0.7,1.3,5.8
Kris Dunn,30,LAC,PG,49,33,23,2.4,5.7,0.416,0.9,3,0.31,1.5,2.8,0.529,0.496,0.1,0.3,0.5,0.9,2.7,3.5,2.9,1.7,0.3,1.1,2.6,5.8
Javonte Green,31,NOP,SG,50,18,21.8,2,4.5,0.446,0.8,2.2,0.352,1.2,2.3,0.534,0.531,1,1.3,0.758,1,2.6,3.6,0.9,1.1,0.6,0.6,1.5,5.8
Talen Horton-Tucker,24,CHI,SG,41,0,11.4,2.1,4.6,0.45,0.8,2,0.373,1.3,2.6,0.509,0.532,0.9,1.2,0.725,0.3,1.4,1.7,1.3,0.4,0.2,0.6,1,5.8
Dean Wade,28,CLE,PF,37,26,22.5,2,5,0.402,1.4,4.1,0.34,0.6,0.8,0.71,0.543,0.4,0.7,0.52,1,4,5,1.5,0.8,0.4,0.4,2,5.8
Jarace Walker,21,IND,PF,52,1,16,2.1,4.6,0.458,0.9,2.3,0.369,1.3,2.3,0.551,0.552,0.7,1.1,0.644,0.3,2.8,3.1,1.4,0.9,0.4,1.1,1.6,5.8
Keaton Wallace,25,ATL,PG,24,3,17.3,2.2,5.1,0.423,1,2.7,0.354,1.2,2.4,0.5,0.516,0.5,0.5,1,0.2,1.3,1.5,2.3,0.9,0.3,1.2,1.3,5.8
Robert Williams,27,POR,C,20,3,17.6,2.5,3.9,0.641,0.1,0.2,0.333,2.5,3.8,0.653,0.647,0.8,0.9,0.882,1.8,4.2,5.9,1.1,0.7,1.7,0.9,1.6,5.8
Donovan Clingan,20,POR,C,43,13,16.4,2.4,4.2,0.56,0.2,0.5,0.304,2.2,3.7,0.597,0.58,0.7,1.1,0.681,2.7,4,6.7,0.7,0.4,1.6,1.2,2.7,5.7
Jeff Green,38,HOU,PF,17,2,12.3,2,3.8,0.531,0.8,2.4,0.341,1.2,1.4,0.87,0.641,0.9,1.1,0.833,0.3,1.3,1.6,0.4,0.2,0.1,0.3,1,5.7
Quenton Jackson,26,IND,PG,18,7,14.1,2.2,4.2,0.513,0.5,1.3,0.375,1.7,2.9,0.577,0.572,0.8,1.2,0.714,0.6,0.9,1.5,1.7,0.5,0.3,0.6,1.8,5.7
Isaac Okoro,24,CLE,SG,31,17,19.5,2,4.7,0.432,1.1,2.8,0.384,1,1.9,0.5,0.545,0.6,0.9,0.704,0.8,1.4,2.2,1.5,0.6,0.4,0.4,1.9,5.7
Jeremiah Robinson-Earl,24,NOP,PF,45,6,17.6,2.1,4.8,0.444,0.7,2.2,0.33,1.4,2.5,0.544,0.521,0.7,0.8,0.865,1.7,2.9,4.6,1.2,0.6,0.1,0.7,1.2,5.7
Rob Dillingham,20,MIN,PG,33,1,12.5,2.4,5.3,0.448,0.7,1.9,0.365,1.7,3.4,0.495,0.514,0.2,0.3,0.5,0.2,0.9,1.2,2.4,0.4,0,1.3,0.9,5.6
Gabe Vincent,28,LAL,PG,47,6,20.2,2.1,5.3,0.399,1.3,3.7,0.341,0.8,1.5,0.542,0.52,0.1,0.3,0.583,0.3,1,1.3,1.4,0.7,0.2,0.6,2.1,5.6
Drew Eubanks,27,LAC,C,41,4,14.8,2.3,3.8,0.61,0.1,0.1,0.5,2.2,3.6,0.615,0.62,0.9,1.4,0.632,1.1,3.2,4.3,1.1,0.2,0.8,0.8,1.1,5.5
Jamison Battle,23,TOR,SF,39,0,12.6,1.9,4.2,0.46,1.3,3.2,0.423,0.6,1,0.575,0.62,0.3,0.4,0.857,0.5,1.3,1.8,0.8,0.1,0.1,0.3,1.1,5.5
Mouhamed Gueye,22,ATL,PF,10,6,14.8,2.2,6,0.367,0.4,3,0.133,1.8,3,0.6,0.4,0.7,0.9,0.778,0.8,2.7,3.5,0.5,1,0.9,0.3,1.2,5.5
Kevin Love,36,MIA,PF,19,6,10.9,1.8,5.2,0.354,1.1,3.1,0.362,0.7,2.2,0.341,0.46,0.7,1,0.684,0.9,3.2,4.1,1,0.7,0.1,0.7,0.9,5.5
Tristan Vukcevic,21,WAS,C,16,0,8.5,2,3.8,0.525,0.6,1.8,0.345,1.4,2,0.688,0.607,0.9,1.2,0.737,0.6,1.9,2.5,0.9,0.3,0.2,0.7,0.9,5.5
Jonathan Mogbo,23,TOR,PF,44,10,17.7,2,4.5,0.452,0.3,0.9,0.341,1.7,3.6,0.481,0.487,1,1.4,0.7,1.6,2.5,4.1,1.7,0.7,0.5,0.9,2.1,5.4
Kobe Bufkin,21,ATL,SG,10,0,12.4,1.8,4.7,0.383,0.4,1.9,0.211,1.4,2.8,0.5,0.426,1.3,1.8,0.722,0.5,1.6,2.1,1.7,0.3,0.2,0.8,0.9,5.3
Jaylin Williams,22,OKC,PF,27,5,16.8,1.9,5,0.382,1.1,3.5,0.309,0.9,1.6,0.548,0.489,0.4,0.4,1,1.3,4.4,5.7,2.4,0.4,0.7,0.8,1.9,5.3
Lindy Waters III,27,DET,SG,40,9,16.7,1.9,5.2,0.364,1.2,3.8,0.322,0.7,1.4,0.474,0.481,0.2,0.3,0.727,0.4,2,2.5,1.1,0.6,0.3,0.4,1.4,5.2
Kyle Anderson,31,MIA,PF,40,4,14.9,2.1,4.7,0.441,0.5,1.4,0.352,1.6,3.4,0.478,0.492,0.5,0.8,0.636,0.9,2.3,3.2,2.2,0.7,0.6,0.5,1.1,5.2
Moussa Diabaté,23,CHA,C,46,7,19,2.1,3.5,0.601,0,0,0,2.1,3.5,0.609,0.601,0.9,1.7,0.566,3,4.1,7,0.8,0.7,0.7,0.9,1.7,5.2
Luke Kornet,29,BOS,C,51,7,17.2,2.1,3.2,0.661,0,0,0,2.1,3.2,0.665,0.661,0.9,1.2,0.762,2.4,2.7,5,1.6,0.5,0.9,0.4,1.5,5.2
Gary Payton II,32,GSW,SG,45,10,13.4,2.2,4,0.552,0.3,1.3,0.246,1.9,2.8,0.694,0.591,0.5,0.6,0.724,0.8,2,2.8,1.2,0.6,0.3,0.6,1.7,5.2
Jaylen Clark,23,MIN,SG,16,2,14.9,1.8,3.9,0.46,0.7,1.6,0.423,1.1,2.3,0.486,0.548,0.8,1,0.75,0.9,0.7,1.6,0.5,1,0.1,0.1,1.6,5.1
Tidjane Salaün,19,CHA,PF,42,8,19.2,1.7,5.4,0.307,0.9,3.2,0.276,0.8,2.2,0.351,0.388,0.9,1.3,0.709,1.1,3.1,4.3,1,0.6,0.3,0.9,1.3,5.1
Bismack Biyombo,32,SAS,C,4,3,14.8,2.3,3,0.75,0,0,,2.3,3,0.75,0.75,0.5,1.8,0.286,0.8,3,3.8,0.8,0.8,1.3,1,1.8,5
DaQuan Jeffries,27,CHA,SG,22,2,19.2,1.9,4.7,0.398,0.8,2.8,0.295,1,1.9,0.548,0.485,0.4,0.5,0.818,0.8,1.9,2.7,1.1,0.6,0.5,0.6,2,5
Kevon Looney,28,GSW,C,51,6,16,2.1,4.2,0.505,0,0,0,2.1,4.2,0.509,0.505,0.7,1.4,0.543,2.9,3.9,6.8,1.8,0.7,0.4,0.6,2.2,5
Neemias Queta,25,BOS,C,44,5,14,2.1,3.2,0.655,0,0,0,2.1,3.2,0.664,0.655,0.8,1.1,0.729,1.4,2.3,3.6,0.6,0.3,0.7,0.6,1.8,5
Alondes Williams,25,DET,SG,1,0,4,2,2,1,1,1,1,1,1,1,1.25,0,0,,0,0,0,1,0,0,0,0,5
Aaron Holiday,28,HOU,PG,41,3,12.6,1.7,4,0.416,0.9,2.6,0.352,0.8,1.5,0.525,0.527,0.6,0.7,0.893,0.2,1,1.2,1.3,0.4,0.1,0.5,1.2,4.9
Monte Morris,29,PHX,PG,40,0,13.1,1.7,4.3,0.404,0.6,1.8,0.301,1.2,2.5,0.48,0.468,0.9,1,0.85,0.3,1.2,1.4,1.7,0.4,0.1,0.4,0.5,4.9
Ryan Rollins,22,MIL,PG,39,8,12.5,1.9,4.2,0.451,0.6,1.8,0.348,1.3,2.4,0.526,0.524,0.5,0.6,0.833,0.4,1.2,1.6,1.3,0.7,0.3,0.8,1.4,4.9
Tre Jones,25,CHI,PG,33,0,16.1,1.7,3.6,0.475,0.3,0.9,0.29,1.5,2.7,0.539,0.513,1,1.2,0.8,0.5,1.5,2,3.4,0.7,0.2,0.7,1.1,4.7
Zach Collins,27,CHI,PF,39,4,12.1,1.7,3.7,0.455,0.4,1.4,0.283,1.3,2.4,0.554,0.507,0.9,1,0.897,1.1,1.9,3,1.4,0.4,0.4,0.6,1.9,4.7
Marvin Bagley III,25,MEM,PF,20,1,8.4,1.9,3.6,0.535,0.1,0.5,0.2,1.8,3.1,0.59,0.549,0.8,1.2,0.652,1.4,1.5,2.8,0.4,0.4,0.3,0.6,0.6,4.7
Taylor Hendricks,21,UTA,PF,3,3,25,1.3,6,0.222,1,4,0.25,0.3,2,0.167,0.306,1,1.3,0.75,1.7,3.3,5,0.7,1.7,1.3,0.7,2.7,4.7
Jordan Miller,25,LAC,SF,30,0,12.4,1.8,4.2,0.429,0.3,1.2,0.222,1.5,3,0.511,0.46,0.9,1.1,0.788,0.7,1,1.7,1.1,0.5,0.2,0.7,0.7,4.7
Mo Bamba,26,LAC,C,28,2,12.6,1.7,3.7,0.466,0.5,1.8,0.3,1.2,1.9,0.623,0.539,0.6,0.9,0.68,0.9,3.4,4.3,0.6,0.3,1,0.7,1.8,4.6
Charles Bassey,24,SAS,C,34,1,10.7,2,3.4,0.586,0,0,,2,3.4,0.586,0.586,0.6,1,0.636,1.6,2.8,4.4,0.5,0.4,0.9,0.7,1.4,4.6
Sandro Mamukelashvili,25,SAS,PF,35,0,8.4,1.6,3,0.538,0.7,1.8,0.419,0.9,1.3,0.705,0.66,0.6,0.8,0.724,0.6,1.8,2.4,0.5,0.3,0.3,0.4,0.7,4.6
Karlo Matković,23,NOP,PF,19,2,14.7,1.8,3.3,0.548,0.3,0.9,0.333,1.5,2.3,0.636,0.597,0.7,0.7,1,1.4,2.4,3.8,0.8,0.5,1.2,1,2.3,4.6
Trentyn Flowers,19,LAC,SF,2,0,8,2,4.5,0.444,0,1,0,2,3.5,0.571,0.444,0.5,0.5,1,0.5,1.5,2,0,0,0,0.5,1.5,4.5
Kevin Knox,25,GSW,SF,2,0,5,2,3.5,0.571,0.5,1.5,0.333,1.5,2,0.75,0.643,0,0,,0.5,0.5,1,0,0,0,0,0.5,4.5
Trevelin Queen,27,ORL,SG,25,2,14.6,1.7,4.8,0.353,0.6,2.6,0.25,1,2.2,0.473,0.42,0.5,0.6,0.867,0.8,0.9,1.7,1.3,1,0.4,0.8,1.4,4.5
Elfrid Payton,30,CHA,PG,12,5,21.1,2.2,5.4,0.4,0,0.1,0,2.2,5.3,0.406,0.4,0.1,0.2,0.5,0.5,2.4,2.9,5.4,1.3,0.4,2.3,1.7,4.4
David Roddy,23,PHI,PF,29,3,12.6,1.6,3.5,0.465,0.6,1.6,0.34,1.1,1.9,0.574,0.545,0.6,0.8,0.818,0.4,2.2,2.6,1.1,0.4,0.3,0.7,0.7,4.4
Jett Howard,21,ORL,SF,47,0,11.3,1.6,4.3,0.37,1,3.1,0.317,0.6,1.2,0.509,0.485,0.3,0.4,0.75,0.4,0.8,1.2,0.8,0.2,0.2,0.5,1,4.4
Reggie Jackson,34,PHI,PG,31,1,12.4,1.7,4.3,0.391,0.8,2.4,0.338,0.9,1.9,0.458,0.485,0.2,0.3,0.778,0.3,1.1,1.4,1.5,0.5,0.1,0.5,1.1,4.4
Julian Phillips,21,CHI,SF,55,3,13.1,1.5,3.4,0.45,0.7,1.9,0.346,0.9,1.5,0.576,0.545,0.7,0.9,0.745,0.9,1.2,2,0.4,0.5,0.3,0.4,1.3,4.4
Pat Connaughton,32,MIL,SG,31,0,14.8,1.6,3.7,0.431,0.6,2,0.323,1,1.7,0.556,0.517,0.4,0.5,0.765,0.5,2.1,2.6,1.6,0.2,0.3,0.6,1.1,4.3
Daniel Theis,32,NOP,C,38,9,16.3,1.6,3.4,0.473,0.2,1,0.243,1.4,2.4,0.565,0.508,0.8,1,0.838,1.2,3.2,4.3,1.6,0.5,0.5,0.7,1.8,4.3
Malaki Branham,21,SAS,SG,33,0,8.9,1.5,3.5,0.431,0.6,1.6,0.389,0.9,1.9,0.468,0.522,0.5,0.6,0.85,0.1,1,1.1,0.8,0.2,0.1,0.8,0.5,4.2
Paul Reed,25,DET,C,32,0,9.4,1.6,3.1,0.531,0.2,0.7,0.286,1.4,2.4,0.597,0.561,0.8,1,0.806,0.9,1.6,2.5,0.9,1,0.6,0.5,1.6,4.2
